epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,94.8149,0.9065,0.6891,1,0.69937,0.00332364,0.00332364,0.00332364
2,176.921,0.76667,0.69848,1,0.76714,0.00659107,0.00659107,0.00659107
3,258.636,0.78419,0.66192,1,0.78236,0.0097925,0.0097925,0.0097925
4,339.977,0.83576,0.68457,1,0.81486,0.009703,0.009703,0.009703
5,423.597,0.80351,0.69686,1,0.70961,0.009604,0.009604,0.009604
6,507.913,0.74761,0.70074,1,0.65557,0.009505,0.009505,0.009505
7,592.448,0.68903,0.70883,1,0.63396,0.009406,0.009406,0.009406
8,678.357,0.678,0.74571,1,0.58727,0.009307,0.009307,0.009307
9,762.028,0.65261,0.7263,1,0.65017,0.009208,0.009208,0.009208
10,847.029,0.64587,0.72921,1,0.63969,0.009109,0.009109,0.009109
11,932.821,0.62146,0.71271,1,0.69545,0.00901,0.00901,0.00901
12,1018.13,0.6233,0.74863,1,0.58008,0.008911,0.008911,0.008911
13,1102.53,0.6056,0.73698,1,0.60751,0.008812,0.008812,0.008812
14,1189.21,0.59522,0.75736,1,0.56525,0.008713,0.008713,0.008713
15,1275.34,0.58762,0.77159,1,0.54016,0.008614,0.008614,0.008614
16,1360.54,0.5661,0.77386,1,0.52401,0.008515,0.008515,0.008515
17,1444.13,0.55635,0.78939,1,0.51777,0.008416,0.008416,0.008416
18,1530.8,0.55112,0.78357,1,0.51783,0.008317,0.008317,0.008317
19,1616.21,0.54169,0.79327,1,0.50019,0.008218,0.008218,0.008218
20,1703.35,0.53066,0.77871,1,0.5334,0.008119,0.008119,0.008119
21,1788.13,0.52323,0.79748,1,0.49993,0.00802,0.00802,0.00802
22,1874.64,0.52814,0.79683,1,0.49547,0.007921,0.007921,0.007921
23,1959.56,0.52501,0.79651,1,0.48122,0.007822,0.007822,0.007822
24,2044.65,0.50179,0.80265,1,0.47843,0.007723,0.007723,0.007723
25,2130.56,0.48896,0.81074,1,0.4701,0.007624,0.007624,0.007624
26,2215.98,0.48414,0.80168,1,0.47479,0.007525,0.007525,0.007525
27,2301.78,0.4888,0.81203,1,0.4581,0.007426,0.007426,0.007426
28,2387.22,0.46996,0.82271,1,0.46214,0.007327,0.007327,0.007327
29,2472.57,0.4671,0.82303,1,0.44566,0.007228,0.007228,0.007228
30,2557.61,0.45846,0.82109,1,0.4658,0.007129,0.007129,0.007129
31,2644.16,0.45443,0.81171,1,0.4667,0.00703,0.00703,0.00703
32,2731.12,0.43929,0.80751,1,0.47423,0.006931,0.006931,0.006931
33,2816.52,0.44779,0.81656,1,0.47563,0.006832,0.006832,0.006832
34,2902.22,0.42946,0.82853,1,0.43275,0.006733,0.006733,0.006733
35,2989.09,0.42757,0.82595,1,0.44218,0.006634,0.006634,0.006634
36,3075.05,0.41409,0.83468,1,0.44347,0.006535,0.006535,0.006535
37,3159.74,0.40594,0.83242,1,0.43883,0.006436,0.006436,0.006436
38,3246.3,0.40451,0.84115,1,0.43068,0.006337,0.006337,0.006337
39,3330.6,0.40394,0.83662,1,0.42542,0.006238,0.006238,0.006238
40,3417.68,0.39677,0.84471,1,0.4253,0.006139,0.006139,0.006139
41,3501.86,0.37543,0.84148,1,0.42679,0.00604,0.00604,0.00604
42,3587.97,0.37916,0.83889,1,0.44028,0.005941,0.005941,0.005941
43,3674.43,0.37249,0.84245,1,0.42326,0.005842,0.005842,0.005842
44,3759.69,0.361,0.84665,1,0.42041,0.005743,0.005743,0.005743
45,3845.71,0.36261,0.84245,1,0.41992,0.005644,0.005644,0.005644
46,3929.99,0.35462,0.85247,1,0.42275,0.005545,0.005545,0.005545
47,4015.16,0.3525,0.85183,1,0.42636,0.005446,0.005446,0.005446
48,4112.44,0.35466,0.85539,1,0.42436,0.005347,0.005347,0.005347
49,4205.52,0.34023,0.85215,1,0.42071,0.005248,0.005248,0.005248
50,4290.78,0.32079,0.85021,1,0.41938,0.005149,0.005149,0.005149
51,4376.08,0.32783,0.85797,1,0.41745,0.00505,0.00505,0.00505
52,4460.85,0.32905,0.85765,1,0.42247,0.004951,0.004951,0.004951
53,4547.32,0.30949,0.85474,1,0.42547,0.004852,0.004852,0.004852
54,4631.9,0.31334,0.85377,1,0.41128,0.004753,0.004753,0.004753
55,4716.7,0.29588,0.86639,1,0.40721,0.004654,0.004654,0.004654
56,4802.86,0.29879,0.86024,1,0.41801,0.004555,0.004555,0.004555
57,4888.16,0.29928,0.8638,1,0.41279,0.004456,0.004456,0.004456
58,4974.38,0.28466,0.85895,1,0.41344,0.004357,0.004357,0.004357
59,5061.08,0.28028,0.85927,1,0.42424,0.004258,0.004258,0.004258
60,5145.83,0.27035,0.86347,1,0.42109,0.004159,0.004159,0.004159
61,5231.13,0.25573,0.86574,1,0.43313,0.00406,0.00406,0.00406
62,5317.33,0.27205,0.86703,1,0.43201,0.003961,0.003961,0.003961
63,5402.87,0.24534,0.86703,1,0.43108,0.003862,0.003862,0.003862
64,5488.79,0.24457,0.8625,1,0.42491,0.003763,0.003763,0.003763
65,5574.95,0.23921,0.86412,1,0.42773,0.003664,0.003664,0.003664
66,5660.02,0.23998,0.86768,1,0.42471,0.003565,0.003565,0.003565
67,5745.9,0.22559,0.86994,1,0.42594,0.003466,0.003466,0.003466
68,5832.25,0.22288,0.87027,1,0.435,0.003367,0.003367,0.003367
69,5918.89,0.21118,0.86865,1,0.43119,0.003268,0.003268,0.003268
70,6003.15,0.2106,0.87092,1,0.44623,0.003169,0.003169,0.003169
71,6088.84,0.21954,0.86962,1,0.44202,0.00307,0.00307,0.00307
72,6174.24,0.20601,0.8735,1,0.44611,0.002971,0.002971,0.002971
73,6260.5,0.20715,0.87221,1,0.43806,0.002872,0.002872,0.002872
74,6346.56,0.18878,0.87286,1,0.4429,0.002773,0.002773,0.002773
75,6431.54,0.18905,0.87383,1,0.44109,0.002674,0.002674,0.002674
76,6517.06,0.18391,0.8748,1,0.44304,0.002575,0.002575,0.002575
77,6604.08,0.17166,0.87609,1,0.44407,0.002476,0.002476,0.002476
78,6690.35,0.16723,0.87544,1,0.44834,0.002377,0.002377,0.002377
79,6776.24,0.15578,0.87609,1,0.45427,0.002278,0.002278,0.002278
80,6862.05,0.15715,0.87544,1,0.46147,0.002179,0.002179,0.002179
81,6947.26,0.14851,0.8748,1,0.46609,0.00208,0.00208,0.00208
82,7033.21,0.14678,0.87383,1,0.46738,0.001981,0.001981,0.001981
83,7118.88,0.14394,0.87447,1,0.4713,0.001882,0.001882,0.001882
84,7205.38,0.13782,0.87447,1,0.47368,0.001783,0.001783,0.001783
85,7289.73,0.12882,0.87544,1,0.47517,0.001684,0.001684,0.001684
86,7375.13,0.11862,0.87544,1,0.47625,0.001585,0.001585,0.001585
87,7461.23,0.1208,0.8748,1,0.48394,0.001486,0.001486,0.001486
88,7547.86,0.11384,0.87318,1,0.4893,0.001387,0.001387,0.001387
89,7632.67,0.11233,0.87512,1,0.49213,0.001288,0.001288,0.001288
90,7718.76,0.10427,0.8748,1,0.49624,0.001189,0.001189,0.001189
